id,title,parent_department_id,parent_priority,private,deleted_at,teleweb_queue,public_token,teleweb_incident_source_id,allow_transfer_if_empty,transfer_allowed_incident_source_ids,allow_transfer,internal_return_target,working_timeout_seconds,break_time,il_id,address,service_level_seconds,logo_isyeri_kodu,teleweb_incoming_call_action,new_tab_url,teleweb_shortcuts,phone_directory_group_ids,teleweb_incoming_tone,return_escape_call,return_escape_call_anons_id,outbound_cid,call_welcome_screen_fields,open_different_webforms,different_webforms,return_off_time_call,return_off_time_anons_id,break_options,last_was_in_wrap_up_second,molayi_sinirla,kuyrukta_bekleyen_kisi_sayisi_mola_siniri,take_break_if_disposition_code_is_not_selected,disposition_code_timeout_seconds,disposition_code_timeout,allow_postponed,moladaki_kisi_sayisi_mola_siniri,mudurluk,baskan_yardimciligi,teleweb_dashboard_incident_source_id,show_dashboard_convert_to_percent,daire_baskanligi,extra_teleweb_incident_source_ids,return_escape_call_time,mola_kisi_sayisi_sinirina_dahil_olan_mola_turleri,video_call_center,default_break_over_mode,return_escape_call_hour_range_start,return_escape_call_hour_range_end
1,Genel Sekreterlik,0,7,1,,4507,YVZnH-146753,5,0,,0,molestiae,11,10,,"115 Arsoy Haven
Değmeershire, OH 48194",60,54442,velit,http://www.durmus.net/,Quibusdam quaerat nesciunt necessitatibus. Labore aliquid optio alias soluta sint. Fugit eum a praesentium sunt similique perspiciatis ab. Officia corrupti reprehenderit ad.,,1,0,,(082)304 6569,"Tempore facilis nobis earum. Deleniti repellat sit natus libero vero quis voluptatum. Dignissimos dolor aspernatur deserunt.
Et corrupti eos.",1,,1,,dolore,30,1,,0,172,100,0,,sunt,libero,,0,odio,maxime,7,quisquam,0,,9:27:55,0:05:28
2,Afet �sleri Daire Baskanligi,0,5,1,,1862,DnMwF-671507,6,0,,1,libero,40,9,,"7207 Çetin Island
Demirshire, MH 80610",98,73017,ea,http://www.bsh.tr/,"Alias praesentium harum. Distinctio harum nulla incidunt commodi eveniet odio. Dolores laborum rerum porro iusto.
Velit repellat vel suscipit. Omnis debitis nam id consequuntur eligendi.",,0,1,,0566 424 59 62,"Sed pariatur est sunt rem a asperiores. Dignissimos perferendis itaque laborum fugit.
Facere dolorem consequuntur natus. Quasi accusantium provident. Laboriosam ullam eligendi in accusantium.",1,,0,,voluptas,17,0,,0,143,146,1,,laborum,ducimus,,0,accusantium,a,9,id,0,,20:21:04,10:23:09
3,Basin Yayin ve Halka Iliskiler,0,3,1,,6342,qHWbd-913257,2,1,,1,est,52,10,,"79366 Tomurcuk Trail
New Kırgız, MP 19688",119,87851,rem,http://www.mansiz.tr/,Sequi impedit quos pariatur illum aut. Laborum molestias exercitationem totam neque modi modi.,,0,0,,+90(302)3772643,"Perspiciatis doloribus esse tempore. Dolore eum nostrum exercitationem consectetur cumque. Ea nisi sint hic rem modi esse sequi.
Dolorum officia modi officia. Aperiam esse quo.",0,,0,,quis,40,0,,1,83,162,1,,expedita,commodi,,1,enim,illo,4,quisquam,0,,19:56:24,8:05:11
4,Bilgi Islem,0,7,1,,8517,LQdJw-006642,7,1,,1,neque,11,10,,"3264 Hatin Parkway Suite 455
Lake Zubeydeton, PR 99486",65,21547,odit,http://akca.net/,"Ut quidem perspiciatis. Iusto iste omnis voluptatem itaque blanditiis repellendus quibusdam. Distinctio deserunt tempora tempore libero a.
Inventore tenetur veniam aliquid eum ut totam dolorum.",,0,1,,+90 (387) 6120417,"Mollitia perferendis voluptas nam perspiciatis cupiditate. Doloremque occaecati ullam dicta. Consequuntur a odio deleniti doloremque mollitia numquam.
Et earum saepe fugiat.",1,,0,,sequi,24,0,,0,158,174,1,,tempora,quae,,1,rerum,nostrum,5,harum,1,,8:33:55,20:12:24
5,Cevre Koruma ve Kontrol Dairesi,0,3,1,,1183,zVByq-853082,4,0,,1,ut,33,10,,"51560 Kısakürek Spring
Türkport, NJ 33674",75,61237,non,https://www.sezgin.net/,"Repellendus minus nihil et cum autem.
Sint officiis tenetur officia consequuntur impedit ipsa. Quibusdam fugit illo numquam reprehenderit impedit facere nesciunt.",,0,1,,9319999772,"Deserunt quo exercitationem nesciunt dolore aliquam voluptates.
Enim cumque dicta praesentium nostrum nostrum laudantium. Magni facere maxime expedita alias facere.",1,,1,,deserunt,17,1,,0,116,118,0,,incidunt,fugit,,0,eius,praesentium,9,cupiditate,0,,7:01:20,16:54:47
6,Destek Hizmetleri,0,7,1,,8597,jYxSU-256645,6,0,,0,impedit,60,5,,"PSC 8305, Box 9590
APO AP 56846",61,31023,aspernatur,http://yuksel.org/,"Eos numquam natus consectetur non mollitia. Ipsum dolore nulla nesciunt quo.
Tenetur recusandae et quia occaecati architecto. Suscipit voluptate sint tempore tempore aperiam inventore.",,1,0,,(397)767 7417,"Nemo ipsa nihil quisquam. Saepe autem nostrum. Exercitationem asperiores fugit nesciunt illum.
Consequuntur impedit a. Hic nulla repudiandae. Nam vero delectus.",1,,1,,error,11,1,,1,70,118,0,,eum,beatae,,1,occaecati,ad,0,voluptates,1,,18:26:57,0:10:17
7,Emlak ve Istimlak,0,2,1,,1183,yvOjo-960604,1,1,,0,deserunt,20,13,,"5474 Bilgin River
Çaltıton, NH 89243",75,57451,sunt,https://enka.com/,"Quisquam suscipit quis labore et odit eveniet. Pariatur illum ab.
At corporis quasi iusto autem aspernatur sequi.",,1,0,,(255)353 8848,"Beatae nemo laudantium cupiditate quibusdam voluptatem. Consequuntur nesciunt cum quis.
Eius sequi quisquam corrupti. In et assumenda soluta. Quisquam in dolorem quasi numquam dolorum accusamus.",0,,0,,possimus,20,1,,1,103,80,0,,quae,alias,,1,odio,pariatur,6,rerum,0,,11:01:19,19:20:12
8,Etut ve Projeler,0,4,1,,1016,IIppt-034975,2,0,,1,suscipit,45,13,,"999 Arslan Spurs
Port Dikenland, CA 88712",120,72062,ex,https://dumanli.tr/,Labore ipsam modi incidunt omnis. Magni ipsam architecto quo vitae earum. Praesentium iusto similique soluta.,,0,1,,+90(267)659-6497x9864,"Autem eius similique modi saepe sit tempore. Ipsa cum assumenda possimus velit ullam possimus.
Similique vel ipsum et.",1,,0,,repellat,42,1,,1,71,93,1,,aliquid,nam,,0,earum,minima,9,eaque,1,,3:55:05,20:30:51
9,Fen Isleri,0,3,1,,5374,VJjPb-413140,2,1,,1,ducimus,19,14,,"4951 Türk Union Suite 006
South Kaşif, AL 15223",65,59241,consequuntur,http://www.firat.org/,Alias velit debitis consectetur. Molestias mollitia omnis illo odit soluta porro. Consequuntur doloremque praesentium officia.,,1,0,,526 3 411,"Dolor aliquid natus consequuntur. Dolor architecto voluptates voluptatem in facere.
Accusantium illum magnam delectus nulla et. Eligendi distinctio odio optio.",1,,1,,quaerat,48,1,,0,169,149,1,,deleniti,ipsa,,0,sapiente,quas,2,libero,1,,21:40:13,14:44:51
10,Genclik ve Spor Hizmetleri,0,7,0,,7084,JsYSA-997955,1,0,,1,laborum,46,5,,"6885 Görklü Junctions Suite 081
Çıvgınside, OR 75015",110,85178,debitis,https://ihsanoglu.org/,"Assumenda deserunt reiciendis repellendus. Quas consequuntur magnam delectus atque.
Vero officiis id unde iusto deserunt dicta.",,1,1,,062 8 304,"Eligendi inventore voluptates. Sint similique facilis cupiditate quis. Libero magni perferendis minus dignissimos culpa reprehenderit.
Voluptatum maxime ipsa dolore praesentium quod.",0,,0,,voluptas,55,1,,1,122,79,1,,perspiciatis,impedit,,1,adipisci,nam,9,quia,0,,9:59:14,13:59:38
11,1. Huhuh Musavirligi,0,10,1,,5345,wpLcd-024682,6,0,,0,cum,40,6,,"389 Ahat Avenue
North Yümuntown, AK 23155",95,18376,a,http://akcay.org/,"Quisquam aspernatur assumenda quas.
Consequatur dolores nihil amet consectetur. Similique non illum veniam magnam dolores laborum. Atque facere odit molestias voluptates nihil architecto perferendis.",,1,0,,0007-089 9706,"Placeat voluptates sapiente facere nulla. Pariatur quae natus quidem.
Possimus iste voluptate culpa fugit illum. Aspernatur ipsa perspiciatis nulla delectus. Quam neque molestias atque quisquam.",1,,1,,sequi,56,1,,1,122,163,0,,perspiciatis,beatae,,0,ducimus,harum,3,in,1,,17:53:22,17:20:57
12,Ic Denetim Birimi,0,1,1,,8676,EhKbm-829864,2,0,,0,sequi,38,14,,"8293 Demir Mountains
New Adalside, SD 28407",82,19519,a,http://www.akdeniz.com/,"Ducimus voluptates non ipsa ipsum aspernatur. Architecto possimus porro atque.
Consectetur laborum illo consequuntur blanditiis. Culpa optio officiis alias consequatur.",,1,1,,+90 (288) 0814646,Eius hic totam qui excepturi fugit incidunt. Repellendus quam aliquid similique.,0,,0,,tempora,42,0,,1,64,105,0,,maiores,quibusdam,,0,id,assumenda,10,officiis,1,,19:40:56,0:21:38
13,Imar ve Sehircilik,0,6,1,,8547,NBElB-275801,8,0,,0,a,46,9,,"267 Akçay Plain
Yükselshire, HI 61956",63,63609,quibusdam,https://www.sensoy.tr/,"Dolor sint modi fugiat sapiente omnis. Aliquam ex nesciunt tenetur voluptate. Dolorum tempora repellendus magni.
Voluptas quas minus accusamus voluptate. Enim atque quo molestiae dignissimos.",,0,1,,0536 630 67 96,"Impedit dignissimos velit labore.
Alias sequi vitae at libero. Minima magni officia incidunt laborum. Ut doloremque error itaque quod.",0,,1,,molestiae,58,1,,0,164,94,1,,dignissimos,ut,,1,laudantium,porro,2,nulla,0,,7:15:15,1:37:34
14,Insan Kaynaklari ve Egitim,0,6,1,,6684,ztayB-431897,7,1,,0,repudiandae,51,7,,"6620 Kitan Port
Ergültown, OR 52040",103,84870,repellat,http://tevetoglu.tr/,Vero dicta aperiam recusandae nesciunt incidunt. Maiores labore quae delectus.,,0,1,,0066 391 89 55,"Consequuntur unde temporibus similique adipisci. Vitae est non quod labore.
Sequi tempora iusto ea. Vel ullam veritatis asperiores.",0,,1,,quibusdam,5,0,,1,95,130,1,,doloribus,necessitatibus,,1,beatae,asperiores,7,nam,0,,15:31:12,19:29:31
